ಕ್ರ. ಸಂ,ಪತ್ರಿಕೆಯ ಹೆಸರು,ಪ್ರಾರಂಭದ ವರ್ಷ,ಪ್ರಕಟಿಸಿದಸ್ಥಳ,ಪ್ರಕಾಶಕರು,ಸ್ಥಾಪಕ ಸಂಪಾದಕ/ಸಂಪಾದಕ,ಆವರ್ತಕತೆ,ಭಾಷೆ,ಹಾವನೂರು ಶ್ರೀನಿವಾಸ್,ಕೆಪಿಎ
61,ದಾವಣಗೆರೆ ವಾಣಿ,1929,ದಾವಣಗೆರೆ,ಎಂ ಬಿ ಬೂಸನೂರು,ಎಂ ಬಿ ಬೂಸನೂರು,ದೈನಿಕ,ಕನ್ನಡ,,
62,ಪುರಾಣ ಕಥಾವಳಿ,1930,ಮಧುಗಿರಿ,,,ಮಾಸಿಕ,ಕನ್ನಡ,,
63,ಅಧ್ಯಾತ್ಮ ಪ್ರಕಾಶ,1931,ಹೊಳೆನರಸೀಪುರ/ಹಾಸನ,ಎಚ್ ಎಸ್ ಲಕ್ಷ್ಮೀ ನರಸಿಂಹ ಮೂರ್ತಿ / ಅಧ್ಯಾತ್ಮ ಪ್ರಕಾಶ ಕಛೇರಿ,ಎಚ್ ಎಸ್ ಲಕ್ಷ್ಮೀ ನರಸಿಂಹ ಮೂರ್ತಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
64,ಉದಯ,1931,ಕಲಬುರ್ಗಿ,,ಎಸ್ ಸಿ ಮಿರ್ಜಿ,ದೈನಿಕ,ಕನ್ನಡ,1929 - 77,
65,ಬಾಲಚಂದ್ರ,1932,ಮಂಗಳೂರು,ಕೋಟ್ಕರ್ ಸುಬ್ಬಣ್ಣಯ್ಯ,,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,"Publisher -Dakshina ಕನ್ನಡ Zilla Adyapaka Sangha, Editor- Ulala Mangesharaya",
66,ಪುರಾಣ ಕಥಾವಳಿ,1932,ಮೈಸೂರು,,ಜಿ ತಿಮ್ಮಯ್ಯ,,ಕನ್ನಡ,,
67,ಪ್ರಜಾಮತ,1932,,ಎಂ.ಎಸ್. ಗುರುಪಾದಸ್ವಾಮಿ,ಎಂ.ಎಸ್. ಗುರುಪಾದಸ್ವಾಮಿ,ಮಾಸಿಕ,ಕನ್ನಡ,,
68,ಸಂಯುಕ್ತ ಕರ್ನಾಟಕ,1933,ಬೆಂಗಳೂರು,ಲೋಕ ಶಿಕ್ಷಣ ಟ್ರಸ್ಟ್,ಕೆ ಶ್ಯಾಮ್ ರಾವ್/ಆರ್ ಉಪಾಧ್ಯಾಯ,ದೈನಿಕ,ಕನ್ನಡ,"1929-33, Pub: loka shikshana trust, Balvantraya Datara, Mohare Hanumanth Rao and oth",
69,ಸಂಯುಕ್ತ ಕರ್ನಾಟಕ,1933,ಹುಬ್ಬಳ್ಳಿ/ಧಾರವಾಡ,,ಮೊಹರೆ ಹನುಮಂತ ರಾಯರು,ದೈನಿಕ,ಕನ್ನಡ,,1929
70,ಉದಯ,1933,ವಿಜಯಪುರ,ಎಂ.ಜೆ ಮಿರ್ಜಿ,ಎಸ್ ಸಿ ಮಿರ್ಜಿ/ಎಂ.ಜೆ ಮಿರ್ಜಿ,ದೈನಿಕ,ಕನ್ನಡ,,1931
